id,product_id,ptdvar_id,brand,purchase_type,status,prtd_location,in_service,vendor,sl_no,purchase_date,purchase_cost,expenses,rent_vendor,rent_purchase_date,rent_to_vendor_cost,bill_no,warranty_end_date,warranty_status,product_owned_type,month,year,close_status
1,WM1002060VICT25D151008,3,5,1,1,0,0,5,,25-12-15,12000.00,0.00,,0000-00-00,0.00,1,,0,0,12,2015,0
2,WM1004060WPCT081161013,3,6,1,1,0,0,5,,08-01-16,13300.00,0.00,,0000-00-00,0.00,2,,0,0,1,2016,0
3,WM1101060WPTE139161428,3,6,1,1,0,0,5,,13-09-16,13100.00,0.00,,0000-00-00,0.00,3,,0,0,9,2016,0
4,WM1006060WPCT081161015,3,6,1,1,1,0,5,,08-01-16,13300.00,0.00,,0000-00-00,0.00,4,,0,0,1,2016,0
5,RE1064190WPTE276161271,2,6,1,1,0,0,5,,27-06-16,11300.00,0.00,,0000-00-00,0.00,5,,0,0,7,2016,0
6,TV1004032ZBZB022161024,10,3,1,1,0,0,5,,02-02-16,13500.00,0.00,,0000-00-00,0.00,6,,0,0,2,2016,0
7,WM1056060WPTE047161272,3,6,1,1,0,0,5,,04-07-16,12700.00,0.00,,0000-00-00,0.00,7,,0,0,7,2016,0
8,MW1002020IFCT072161034,7,12,1,1,0,0,5,,07-02-16,9500.00,0.00,,0000-00-00,0.00,8,,0,0,2,2016,0
9,RE1009240WPCT072161033,1,6,1,1,0,0,5,,07-02-16,20500.00,0.00,,0000-00-00,0.00,9,,0,0,2,2016,0
10,AC1001010CMAE092161037,5,13,1,1,0,0,5,,09-02-16,27000.00,0.00,,0000-00-00,0.00,10,,0,0,2,2016,0
11,WM1010060VICT092161029,3,5,1,1,1,0,5,,09-02-16,12300.00,0.00,,0000-00-00,0.00,11,,0,0,2,2016,0
12,RE1006192SSCT092161028,2,2,1,1,0,0,5,,09-02-16,12500.00,0.00,,0000-00-00,0.00,12,,0,0,2,2016,0
13,WM1014060WPCT232161048,3,6,1,1,0,0,5,,23-02-16,12300.00,0.00,,0000-00-00,0.00,13,,0,0,2,2016,0
14,TV1009032ZBZB272161068,10,3,1,1,0,0,5,,27-02-16,13500.00,0.00,,0000-00-00,0.00,14,,0,0,2,2016,0
15,WM1009060WPCT101161018,3,6,1,1,0,0,5,,10-01-16,13300.00,0.00,,0000-00-00,0.00,15,,0,0,1,2016,0
16,HT1002051SOBH093161059,12,10,1,1,0,0,5,,09-03-16,5000.00,0.00,,0000-00-00,0.00,16,,0,0,3,2016,0
17,TV1007040LDCT282161058,11,14,1,1,0,0,5,,28-02-16,33500.00,0.00,,0000-00-00,0.00,17,,0,0,3,2016,0
18,WM1016060VICT023161051,3,5,1,1,0,0,5,,02-03-16,12300.00,0.00,,0000-00-00,0.00,18,,0,0,3,2016,0
19,RE1015190SSCT073161061,2,2,1,1,0,0,5,,07-03-16,12500.00,0.00,,0000-00-00,0.00,19,,0,0,3,2016,0
20,SO1004003SSSS013161065,18,7,1,1,0,0,5,,01-03-16,14191.00,0.00,,0000-00-00,0.00,20,,0,0,3,2016,0
21,WC1002WDCSSSS013161064,19,7,1,1,0,0,5,,01-03-16,13000.00,0.00,,0000-00-00,0.00,21,,0,0,3,2016,0
22,WM1015060VICT023161049,3,5,1,1,0,0,5,,02-03-16,12300.00,0.00,,0000-00-00,0.00,22,,0,0,3,2016,0
23,WM1018060VICT043161053,3,5,1,1,1,0,5,,04-03-16,12300.00,0.00,,0000-00-00,0.00,23,,0,0,3,2016,0
24,RE1013190SSCT073161054,2,2,1,1,0,0,5,,07-03-16,12500.00,0.00,,0000-00-00,0.00,24,,0,0,3,2016,0
25,TV1021032ZBZB263161126,10,3,1,1,0,0,11,,26-03-16,13500.00,0.00,,0000-00-00,0.00,25,,0,0,3,2016,0
26,RE1014190SSCT073161055,2,2,1,1,0,0,11,,07-03-16,12500.00,0.00,,0000-00-00,0.00,26,,0,0,3,2016,0
